,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
530,"['👇', '❤', '⚽']",14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
531,"['❌', '⚽']",25,0.76,0.76,0.24,0.76,0.52,0.92,0.6,1.4
532,"['❤', '🙏', '🥰']",7,0.0,0.42857142857142855,0.0,0.0,1.1428571428571428,0.7142857142857143,0.14285714285714285,0.5714285714285714
533,"['❌', '⚽', '🤔']",2,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5
534,"['😎', '🚨']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,"['📌', '❗']",4,1.0,0.25,0.5,1.25,0.5,1.25,0.25,1.5
536,"['‼', '🔥']",34,0.058823529411764705,0.08823529411764706,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.08823529411764706
537,"['➡', '⚽', '📌']",2,0.5,1.0,1.0,0.5,0.5,1.5,0.0,1.0
538,"['🙄', '🚨']",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,"['😂', '🤡', '🤣']",1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
540,"['💥', '📌']",1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
541,"['➡', '⚠', '❗']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,"['🔴', '⚡', '💥']",20,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
543,"['👇', '🚨', '❗']",1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
544,"['🇧🇷', '⚽', '🤔']",4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
